goodreads_book_id,genre_final
1,"['fantasy', 'fiction', 'children']"
2,"['fantasy', 'children', 'fiction']"
3,"['fantasy', 'fiction', 'children']"
5,"['fantasy', 'fiction', 'children']"
6,"['fantasy', 'fiction', 'children']"
8,"['fantasy', 'fiction', 'children']"
10,"['fantasy', 'fiction', 'children']"
11,"['fiction', 'sci-fi', 'fantasy']"
13,"['fiction', 'sci-fi', 'fantasy']"
21,"['historical', 'fiction', 'nonfiction']"
24,"['fiction', 'historical', 'horror']"
25,"['historical', 'fiction', 'nonfiction']"
26,"['fiction', 'historical', 'nonfiction']"
27,"['fiction', 'historical', 'nonfiction']"
28,"['fiction', 'historical', 'nonfiction']"
29,"['fiction', 'historical', 'nonfiction']"
30,"['fantasy', 'fiction', 'horror']"
33,"['fantasy', 'fiction', 'historical']"
34,"['fantasy', 'fiction', 'historical']"
36,"['fiction', 'fantasy', 'nonfiction']"
50,"['children', 'fiction', 'horror']"
67,"['fiction', 'historical', 'nonfiction']"
93,"['children', 'historical', 'fiction']"
98,"['children', 'fiction', 'nonfiction']"
105,"['fiction', 'sci-fi', 'fantasy']"
106,"['fiction', 'fantasy', 'sci-fi']"
112,"['fiction', 'sci-fi', 'fantasy']"
117,"['fiction', 'sci-fi', 'fantasy']"
119,"['fiction', 'fantasy', 'nonfiction']"
122,"['fiction', 'historical', 'nonfiction']"
231,"['fiction', 'nonfiction', 'poetry']"
249,"['fiction', 'historical', 'romance']"
250,"['fiction', 'historical', 'romance']"
264,"['historical', 'fiction', 'romance']"
275,"['fiction', 'historical', 'romance']"
291,"['poetry', 'fiction', 'philosophy']"
295,"['historical', 'fiction', 'children']"
304,"['historical', 'fiction', 'romance']"
320,"['historical', 'fiction', 'fantasy']"
343,"['fiction', 'historical', 'mystery']"
348,"['fiction', 'sci-fi', 'fantasy']"
350,"['fiction', 'sci-fi', 'fantasy']"
353,"['fiction', 'sci-fi', 'fantasy']"
355,"['fiction', 'sci-fi', 'fantasy']"
357,"['fiction', 'fantasy', 'sci-fi']"
359,"['fiction', 'sci-fi', 'fantasy']"
360,"['fiction', 'sci-fi', 'fantasy']"
365,"['fiction', 'fantasy', 'sci-fi']"
378,"['children', 'fantasy', 'fiction']"
386,"['historical', 'fiction', 'poetry']"
400,"['fiction', 'historical', 'nonfiction']"
415,"['fiction', 'historical', 'sci-fi']"
424,"['fiction', 'nonfiction', 'historical']"
428,"['fiction', 'historical', 'nonfiction']"
431,"['fiction', 'mystery', 'nonfiction']"
432,"['fiction', 'mystery', 'historical']"
446,"['fiction', 'poetry', 'children']"
447,"['fiction', 'poetry', 'nonfiction']"
449,"['fiction', 'historical', 'poetry']"
456,"['fiction', 'mystery', 'poetry']"
475,"['fiction', 'historical', 'nonfiction']"
597,"['fiction', 'poetry', 'historical']"
599,"['fiction', 'nonfiction', 'poetry']"
621,"['fiction', 'nonfiction', 'children']"
629,"['philosophy', 'fiction', 'historical']"
647,"['fiction', 'nonfiction', 'philosophy']"
656,"['historical', 'fiction', 'romance']"
662,"['fiction', 'historical', 'philosophy']"
665,"['philosophy', 'fiction', 'nonfiction']"
667,"['fiction', 'sci-fi', 'philosophy']"
668,"['historical', 'fiction', 'philosophy']"
676,"['poetry', 'fiction', 'historical']"
698,"['fiction', 'children', 'romance']"
703,"['fiction', 'historical', 'sci-fi']"
706,"['fiction', 'nonfiction', 'historical']"
760,"['fiction', 'historical', 'romance']"
771,"['nonfiction', 'sci-fi', 'fiction']"
816,"['fiction', 'sci-fi', 'fantasy']"
822,"['fiction', 'historical', 'fantasy']"
823,"['fiction', 'fantasy', 'historical']"
825,"['fiction', 'sci-fi', 'mystery']"
827,"['fiction', 'sci-fi', 'fantasy']"
830,"['fiction', 'sci-fi', 'fantasy']"
840,"['graphic', 'fiction', 'nonfiction']"
865,"['fiction', 'philosophy', 'historical']"
870,"['graphic', 'fiction', 'sci-fi']"
880,"['fiction', 'historical', 'mystery']"
890,"['historical', 'fiction', 'children']"
900,"['fiction', 'philosophy', 'historical']"
902,"['mystery', 'children', 'fiction']"
903,"['children', 'fiction', 'mystery']"
930,"['fiction', 'historical', 'romance']"
952,"['children', 'fiction', 'romance']"
960,"['mystery', 'fiction', 'horror']"
968,"['fiction', 'mystery', 'horror']"
976,"['mystery', 'fiction', 'horror']"
998,"['fiction', 'nonfiction', 'philosophy']"
1005,"['fiction', 'historical', 'poetry']"
1032,"['historical', 'fiction', 'nonfiction']"
1052,"['fiction', 'nonfiction', 'philosophy']"
1067,"['historical', 'fiction', 'nonfiction']"
1078,"['fiction', 'children', 'nonfiction']"
1097,"['fiction', 'nonfiction', 'philosophy']"
1103,"['fiction', 'historical', 'romance']"
1110,"['mystery', 'fiction', 'horror']"
1171,"['fiction', 'historical', 'nonfiction']"
1191,"['fiction', 'children']"
1192,"['fiction', 'nonfiction']"
1202,"['fiction', 'nonfiction', 'philosophy']"
1232,"['fiction', 'mystery', 'fantasy']"
1241,"['fiction', 'historical', 'philosophy']"
1274,"['fiction', 'philosophy', 'romance']"
1295,"['fiction', 'historical', 'romance']"
1301,"['fiction', 'historical', 'nonfiction']"
1303,"['fiction', 'philosophy', 'historical']"
1305,"['fiction', 'historical', 'fantasy']"
1307,"['fantasy', 'fiction', 'sci-fi']"
1319,"['poetry', 'fiction', 'philosophy']"
1362,"['historical', 'fiction', 'fantasy']"
1371,"['historical', 'fiction', 'poetry']"
1375,"['historical', 'fiction', 'poetry']"
1381,"['historical', 'fiction', 'poetry']"
1420,"['historical', 'fiction', 'poetry']"
1426,"['philosophy', 'fiction', 'poetry']"
1427,"['philosophy', 'fiction', 'romance']"
1428,"['fiction', 'philosophy', 'romance']"
1430,"['fiction', 'romance', 'philosophy']"
1431,"['fiction', 'philosophy', 'romance']"
1519,"['historical', 'fiction', 'fantasy']"
1524,"['historical', 'fiction', 'fantasy']"
1540,"['historical', 'fiction', 'fantasy']"
1554,"['fiction', 'children', 'historical']"
1591,"['fiction', 'historical', 'romance']"
1617,"['historical', 'fiction', 'children']"
1618,"['fiction', 'historical', 'mystery']"
1622,"['historical', 'fiction', 'poetry']"
1624,"['historical', 'fiction', 'horror']"
1625,"['historical', 'fiction', 'poetry']"
1627,"['fiction', 'romance', 'nonfiction']"
1633,"['fiction', 'nonfiction', 'poetry']"
1635,"['fiction', 'philosophy', 'nonfiction']"
1715,"['poetry', 'fiction', 'fantasy']"
1823,"['fiction', 'nonfiction', 'philosophy']"
